id	parent_id	order	name	url	hidden	partially_hidden
5-98-156-0	5-98-0-0	2	Proteinové cookiesky		0	0
5-98-164-0	5-98-0-0	3	Energetické tyčinky		0	0
7-0-0-0		3	Zdravá výživa		0	0
7-105-0-0	7-0-0-0	1	Omega-3		0	0
7-120-0-0	7-0-0-0	2	Tuňák		0	0
7-124-0-0	7-0-0-0	3	Sirupy		0	0
7-125-0-0	7-0-0-0	4	Sušené ovoce		0	0
7-133-0-0	7-0-0-0	5	Omáčky a dochucovadla		0	0
7-175-0-0	7-0-0-0	6	Chleby		0	0
7-22-0-0	7-0-0-0	7	Přírodní výtažky		0	0
7-228-0-0	7-0-0-0	8	Detox		0	0
7-34-0-0	7-0-0-0	9	Oleje		0	0
7-35-0-0	7-0-0-0	10	Luštěniny / obiloviny		0	0
7-36-0-0	7-0-0-0	11	Zdravé koření		0	0
7-37-0-0	7-0-0-0	12	Oříškové másla a krémy		0	0
7-250-0-0	7-0-0-0	13	Čokolády		0	0
7-40-0-0	7-0-0-0	14	Mouky		0	0
7-41-0-0	7-0-0-0	15	Vločky		0	0
7-42-0-0	7-0-0-0	16	Ořechy / Semínka		0	0
7-44-0-0	7-0-0-0	17	MCT		0	0
7-194-0-0	7-0-0-0	18	Džemy		0	0
7-223-0-0	7-0-0-0	19	Hotová jídla		0	0
7-247-0-0	7-0-0-0	20	Snacky		0	0
40-0-0-0		4	Nutričně vyvážená strava		0	0
40-226-0-0	40-0-0-0	1	Směsi		0	0
40-227-0-0	40-0-0-0	2	Hotová jídla		0	0
117-0-0-0		5	Veganská výživa		0	0
117-248-0-0	117-0-0-0	1	Proteiny		0	0
117-249-0-0	117-0-0-0	2	Ostatní		0	0
6-0-0-0		6	Fitness pomůcky		0	0
6-126-0-0	6-0-0-0	1	Rukavice		0	0
6-146-0-0	6-0-0-0	2	Balanční pomůcky		0	0
6-157-0-0	6-0-0-0	3	Bandáže		0	0
6-157-158-0	6-157-0-0	1	Kolena		0	0
6-157-159-0	6-157-0-0	2	Lokty		0	0
6-157-160-0	6-157-0-0	3	Zápěstí		0	0
6-157-239-0	6-157-0-0	4	Kotníky		0	0
6-161-0-0	6-0-0-0	4	Opasky		0	0
6-229-0-0	6-0-0-0	5	Ortézy		0	0
6-229-230-0	6-229-0-0	1	Kolena		0	0
6-229-231-0	6-229-0-0	2	Lokty		0	0
6-229-232-0	6-229-0-0	3	Zápěstí		0	0
6-162-0-0	6-0-0-0	6	Trhačky / Háky		0	0
6-163-0-0	6-0-0-0	7	Švihadla		0	0
6-171-0-0	6-0-0-0	8	Gumy na cvičení		0	0
6-392-0-0	6-0-0-0	9	Činky a kettlebelly		0	0
6-172-0-0	6-0-0-0	10	Hrazdy		0	0
6-173-0-0	6-0-0-0	11	Zátěžové vesty		0	0
6-174-0-0	6-0-0-0	12	Lana / TRX		0	0
6-186-0-0	6-0-0-0	13	Masážní pomůcky		0	0
6-19-0-0	6-0-0-0	14	Barely / Láhve		0	0
6-52-0-0	6-0-0-0	15	Tašky / Krabičky		0	0
6-80-0-0	6-0-0-0	16	Šejkry		0	0
6-246-0-0	6-0-0-0	17	Ručníky		0	0
9-0-0-0		7	Fitness oblečení		0	0
9-93-0-0	9-0-0-0	1	Dámské oblečení		0	0
9-93-94-0	9-93-0-0	1	Legíny		0	0
9-93-121-0	9-93-0-0	2	Trička		0	0
9-93-135-0	9-93-0-0	3	Mikiny		0	0
9-93-387-0	9-93-0-0	4	Bundy		0	0
9-93-136-0	9-93-0-0	5	Tepláky		0	0
9-93-398-0	9-93-0-0	6	Skorty		0	0
9-93-137-0	9-93-0-0	7	Tílka / Podprsenky		0	0
9-93-386-0	9-93-0-0	8	Crop topy		0	0
9-93-167-0	9-93-0-0	9	Kalhoty / Šortky		0	0
9-93-390-0	9-93-0-0	10	Kalhotky		0	0
9-93-384-0	9-93-0-0	11	Bikini		0	0
9-93-395-0	9-93-0-0	12	Plavky		0	0
9-93-389-0	9-93-0-0	13	Čepice		0	0
9-93-396-0	9-93-0-0	14	Ponožky		0	0
9-93-399-0	9-93-0-0	15	Čelenky		0	0
9-127-0-0	9-0-0-0	2	Pánské oblečení		0	0
9-127-128-0	9-127-0-0	1	Trička / Tílka		0	0
9-127-129-0	9-127-0-0	2	Tepláky		0	0
9-127-385-0	9-127-0-0	3	Legíny		0	0
9-127-140-0	9-127-0-0	4	Šortky / Boxerky		0	0
9-127-141-0	9-127-0-0	5	Mikiny		0	0
9-127-388-0	9-127-0-0	6	Bundy		0	0
9-127-400-0	9-127-0-0	7	Vesty		0	0
9-127-168-0	9-127-0-0	8	Čepice		0	0
9-127-169-0	9-127-0-0	9	Ragtopy		0	0
9-127-397-0	9-127-0-0	10	Ponožky		0	0
4-0-0-0		8	Posilování		0	0
4-3-0-0	4-0-0-0	1	Stojany na činky		0	0
4-12-0-0	4-0-0-0	2	Posilovací lavice		0	0
4-13-0-0	4-0-0-0	3	Posilovací věže		0	0
4-14-0-0	4-0-0-0	4	Hrazdy a bradla		0	0
4-391-0-0	4-0-0-0	5	Přídavné závaží		0	0
4-393-0-0	4-0-0-0	6	posilovaci-veze		0	0
3-0-0-0		9	Domácí fitness		0	0
3-2-0-0	3-0-0-0	1	Rotopedy a ergometry		0	0
3-7-0-0	3-0-0-0	2	Cyklotrenažéry		0	0
3-8-0-0	3-0-0-0	3	Běžecké pásy		0	0
3-9-0-0	3-0-0-0	4	Recumbenty		0	0
3-10-0-0	3-0-0-0	5	Eliptické trenažéry		0	0
3-11-0-0	3-0-0-0	6	Veslařské trenažéry		0	0
3-15-0-0	3-0-0-0	7	Snímače tepové frekvence		0	0
127-0-0-0		10	Jóga a pilates		0	0
38-0-0-0		11	Fitness spotřebiče		0	0
37-0-0-0		12	Naučné publikace a knihy		0	0
39-0-0-0		13	Soutěžní barvy		0	0
119-0-0-0		14	VÝPRODEJ		0	0
109-0-0-0		15	3D Energy		0	0
49-0-0-0		16	ActivLab		0	0
87-0-0-0		17	Adventure Food		0	0
70-0-0-0		18	Aldelis		0	0
143-0-0-0		19	Allnutrition		0	0
50-0-0-0		20	All Stars		0	0
114-0-0-0		21	Altevita		0	0
111-0-0-0		22	Amazing Grass		0	0
141-0-0-0		23	Aminostar		0	0
11-0-0-0		24	Amix		0	0
85-0-0-0		25	Applied Nutrition		0	0
130-0-0-0		26	ATP		0	0
62-0-0-0		27	Auga		0	0
113-0-0-0		28	Bang Energy		0	0
96-0-0-0		29	Barebells		0	0
44-0-0-0		30	Beast Pink		0	0
58-0-0-0		31	Better Bodies		0	0
26-0-0-0		32	Big Boy		0	0
20-0-0-0		33	BioTechUSA		0	0
103-0-0-0		34	BioToday		0	0
52-0-0-0		35	Björn Borg		0	0
104-0-0-0		36	Bodylab24		0	0
76-0-0-0		37	Bombus		0	0
149-0-0-0		38	BSN		0	0
101-0-0-0		39	Climaqx		0	0
73-0-0-0		40	Country Life		0	0
71-0-0-0		41	C.P.Sports		0	0
14-0-0-0		42	Czech Virus		0	0
108-0-0-0		43	Diet Food		0	0
13-0-0-0		44	Extrifit		0	0
151-0-0-0		45	FitBoom		0	0
135-0-0-0		46	Fitness Authority		0	0
142-0-0-0		47	GAAM		0	0
61-0-0-0		48	GAIAM		0	0
89-0-0-0		49	George and Stephen		0	0
91-0-0-0		50	G Fuel		0	0
55-0-0-0		51	Goldfield		0	0
65-0-0-0		52	GO ON Nutrition		0	0
74-0-0-0		53	Green Apotheke		0	0
43-0-0-0		54	Gym Beam		0	0
153-0-0-0		55	Gymio		0	0
94-0-0-0		56	GymQueen		0	0
133-0-0-0		57	HealthyCo		0	0
22-0-0-0		58	HiTec		0	0
60-0-0-0		59	Chiba		0	0
134-0-0-0		60	Isostar		0	0
47-0-0-0		61	JNX		0	0
107-0-0-0		62	Joya		0	0
25-0-0-0		63	Kevin Levrone		0	0
51-0-0-0		64	Labellamafia		0	0
138-0-0-0		65	Ladylab		0	0
132-0-0-0		66	LifeLike		0	0
115-0-0-0		67	Lovege		0	0
90-0-0-0		68	Mammut Nutrition		0	0
112-0-0-0		69	Manuka Health		0	0
24-0-0-0		70	MaxxWin		0	0
63-0-0-0		71	Megabol		0	0
88-0-0-0		72	Mornflake		0	0
67-0-0-0		73	MUAY		0	0
16-0-0-0		74	Muscletech		0	0
120-0-0-0		75	MyProtein		0	0
21-0-0-0		76	Nebbia		0	0
106-0-0-0		77	Novo		0	0
59-0-0-0		78	Now Foods		0	0
12-0-0-0		79	Nutrend		0	0
110-0-0-0		80	Oatein		0	0
147-0-0-0		81	Optimum Nutrition		0	0
56-0-0-0		82	OstroVit		0	0
84-0-0-0		83	Ölmühle Solling		0	0
131-0-0-0		84	PhD		0	0
129-0-0-0		85	Power System		0	0
102-0-0-0		86	Primavika		0	0
45-0-0-0		87	Pro!Brands		0	0
82-0-0-0		88	Probio		0	0
15-0-0-0		89	Prom - in		0	0
64-0-0-0		90	ProSupps		0	0
144-0-0-0		91	Purasana		0	0
97-0-0-0		92	Redcon1		0	0
28-0-0-0		93	Reflex		0	0
105-0-0-0		94	Renjer		0	0
57-0-0-0		95	Ryderwear		0	0
100-0-0-0		96	Sante		0	0
83-0-0-0		97	Saturo		0	0
18-0-0-0		98	Scitec		0	0
86-0-0-0		99	Sens		0	0
29-0-0-0		100	Sizeandsymmetry		0	0
137-0-0-0		101	Skinny		0	0
66-0-0-0		102	Skins		0	0
79-0-0-0		103	Slim Pasta		0	0
116-0-0-0		104	Sonko		0	0
80-0-0-0		105	Sonnentor		0	0
75-0-0-0		106	Spokey		0	0
54-0-0-0		107	Squatwolf		0	0
53-0-0-0		108	Strix		0	0
140-0-0-0		109	Sunwarrior		0	0
31-0-0-0		110	Survival		0	0
95-0-0-0		111	The Gym Chef		0	0
69-0-0-0		112	The Protein Works		0	0
77-0-0-0		113	Tomm´s		0	0
23-0-0-0		114	Tunturi		0	0
46-0-0-0		115	Under Armour		0	0
19-0-0-0		116	USN		0	0
68-0-0-0		117	VanaVita		0	0
146-0-0-0		118	VemoHerb		0	0
27-0-0-0		119	Viridian		0	0
30-0-0-0		120	Warrior		0	0
72-0-0-0		121	Wasa		0	0
17-0-0-0		122	Weider		0	0
48-0-0-0		123	Wolfberry		0	0
145-0-0-0		124	XBEAM		0	0
92-0-0-0		125	X-Gamer		0	0
99-0-0-0		126	Xucker		0	0
78-0-0-0		127	Yakimasport		0	0
81-0-0-0		128	Yeschips		0	0
136-0-0-0		129	Zoomad		0	0
36-0-0-0		130	Dafit		1	0
42-0-0-0		131	Gymbeam		1	0
126-0-0-0		132	Kulturistika_nové		1	0
152-0-0-0		133	Gymio		1	0
139-0-0-0		134	Nezobrazovat		1	0
148-0-0-0		135	domaci-fitness		1	0
148-394-0-0	148-0-0-0	1	elipticke-trenazery		0	0
148-401-0-0	148-0-0-0	2	rotopedy-a-ergometry		0	0
148-402-0-0	148-0-0-0	3	bezecke-pasy		0	0
148-406-0-0	148-0-0-0	4	snimace-tf		0	0
154-0-0-0		136	Lenny & Larry´s cookies		0	1
155-0-0-0		137	Nutrend BCAA Energy Drink		0	1
156-0-0-0		138	recumbenty		1	0
157-0-0-0		139	ostatni		1	0
157-403-0-0	157-0-0-0	1	doplnky		0	0
158-0-0-0		140	posilovani		1	0
158-404-0-0	158-0-0-0	1	posilovaci-pomucky		0	0
158-405-0-0	158-0-0-0	2	posilovaci-lavice		0	0
